mcc,description,classification
3732,OPRYLAND HOTEL,Pre-Approval
3733,BOCA RATON RESORT,Pre-Approval
3734,HARVEY/BRISTOL HOTELS,Pre-Approval
3735,Hotels/Motels/Inns/Resorts,Pre-Approval
3736,COLORADO BELLE/EDGEWATER RESORT,Pre-Approval
3737,RIVIERA HOTEL AND CASINO,Pre-Approval
3738,TROPICANA RESORT AND CASINO,Pre-Approval
3739,WOODSIDE HOTELS AND RESORTS,Pre-Approval
3740,TOWNPLACE SUITES,Pre-Approval
3741,MILLENIUM BROADWAY HOTEL,Pre-Approval
3742,CLUB MED,Pre-Approval
3743,BILTMORE HOTEL AND SUITES,Pre-Approval
3744,CAREFREE RESORTS,Pre-Approval
3745,ST. REGIS HOTEL,Pre-Approval
3746,THE ELIOT HOTEL,Pre-Approval
3747,CLUBCORP/CLUB RESORTS,Pre-Approval
3748,WELESLEY INNS,Pre-Approval
3749,THE BEVERLY HILLS HOTEL,Pre-Approval
3750,CROWNE PLAZA HOTELS,Pre-Approval
3751,HOMEWOOD SUITES,Pre-Approval
3752,PEABODY HOTELS,Pre-Approval
3753,GREENBRIAH RESORTS,Pre-Approval
3754,AMELIA ISLAND PLANATION,Pre-Approval
3755,THE HOMESTEAD,Pre-Approval
3756,SOUTH SEAS RESORTS,Pre-Approval
3757,Hotels/Motels/Inns/Resorts,Pre-Approval
3758,Hotels/Motels/Inns/Resorts,Pre-Approval
3759,Hotels/Motels/Inns/Resorts,Pre-Approval
3760,Hotels/Motels/Inns/Resorts,Pre-Approval
3761,Hotels/Motels/Inns/Resorts,Pre-Approval
3762,Hotels/Motels/Inns/Resorts,Pre-Approval
3763,Hotels/Motels/Inns/Resorts,Pre-Approval
3764,Hotels/Motels/Inns/Resorts,Pre-Approval
3765,Hotels/Motels/Inns/Resorts,Pre-Approval
3766,Hotels/Motels/Inns/Resorts,Pre-Approval
3767,Hotels/Motels/Inns/Resorts,Pre-Approval
3768,Hotels/Motels/Inns/Resorts,Pre-Approval
3769,Hotels/Motels/Inns/Resorts,Pre-Approval
3770,Hotels/Motels/Inns/Resorts,Pre-Approval
3771,Hotels/Motels/Inns/Resorts,Pre-Approval
3772,Hotels/Motels/Inns/Resorts,Pre-Approval
3773,Hotels/Motels/Inns/Resorts,Pre-Approval
3774,Hotels/Motels/Inns/Resorts,Pre-Approval
3775,Hotels/Motels/Inns/Resorts,Pre-Approval
3776,Hotels/Motels/Inns/Resorts,Pre-Approval
3777,Hotels/Motels/Inns/Resorts,Pre-Approval
3778,Hotels/Motels/Inns/Resorts,Pre-Approval
3779,Hotels/Motels/Inns/Resorts,Pre-Approval
3780,Hotels/Motels/Inns/Resorts,Pre-Approval
3781,Hotels/Motels/Inns/Resorts,Pre-Approval
3782,Hotels/Motels/Inns/Resorts,Pre-Approval
3783,Hotels/Motels/Inns/Resorts,Pre-Approval
3784,Hotels/Motels/Inns/Resorts,Pre-Approval
3785,Hotels/Motels/Inns/Resorts,Pre-Approval
3786,Hotels/Motels/Inns/Resorts,Pre-Approval
3787,Hotels/Motels/Inns/Resorts,Pre-Approval
3788,Hotels/Motels/Inns/Resorts,Pre-Approval
3789,Hotels/Motels/Inns/Resorts,Pre-Approval
3790,Hotels/Motels/Inns/Resorts,Pre-Approval
3816,Home2Suites,Pre-Approval
3835,* MASTERS ECONOMY INNS,Pre-Approval
4011,Railroads,Approved
4111,"Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.",Approved
4112,Passenger Railways,Approved
4119,Ambulance Services,Approved
4121,Taxicabs and Limousines,Approved
4131,"Bus Lines, Including Charters, Tour Buses",Approved
4214,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",Restricted
4215,"Courier Services – Air or Ground, Freight forwarders",Approved
4225,"Public warehousing, Storage",Approved
4411,Cruise and Steamship Lines,Pre-Approval
4457,Boat Rentals and Leases,Restricted
4468,"Marinas, Marine Service, and Supplies",Approved
4511,"Airlines, Air Carriers ( not listed elsewhere)",Pre-Approval
4582,"Airports, Airport Terminals, Flying Fields",Approved
4722,Travel Agencies and Tour Operations,Pre-Approval
4723,Package Tour Operators (For use in Germany only),Pre-Approval
4784,Toll and Bridge Fees,Approved
4789,"Transportation Services, Not elsewhere classified)",Approved
4812,Telecommunications Equipment including telephone sales,Restricted
4814,"Fax services, Telecommunication Services",Pre-Approval
4815,VisaPhone,Approved
4816,Computer Network Services,Prohibited
4821,Telegraph services,Restricted
4829,Money Orders – Wire Transfer,Prohibited
4899,Cable and other pay television (previously Cable Services),Approved
4900,"Electric, Gas, Sanitary and Water Utilities",Approved
5013,Motor vehicle supplies and new parts,Restricted
5021,Office and Commercial Furniture,Restricted
5039,"Construction Materials, Not Elsewhere Classified",Approved
5044,"Office, Photographic, Photocopy, and Microfilm Equipment",Approved
5045,"Computers, Computer Peripheral Equipment, Software",Approved
5046,"Commercial Equipment, Not Elsewhere Classified",Approved
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies",Pre-Approval
5051,Metal Service Centers and Offices,Approved
5065,Electrical Parts and Equipment,Approved
5072,Hardware Equipment and Supplies,Restricted
5074,Plumbing and Heating Equipment and Supplies,Restricted
5085,"Industrial Supplies, Not Elsewhere Classified",Restricted
5094,"Precious Stones and Metals, Watches and Jewelry",Restricted
5099,"Durable Goods, Not Elsewhere Classified",Approved
5111,"Stationery, Office Supplies, Printing, and Writing Paper",Approved
5122,"Drugs, Drug Proprietors, and Druggist's Sundries",Prohibited
5131,"Piece Goods, Notions, and Other Dry Goods",Approved
5137,Men's Women's and Children's Uniforms and Commercial Clothing,Approved
5139,Commercial Footwear,Approved
5169,"Chemicals and Allied Products, Not Elsewhere Classified",Approved
5172,Petroleum and Petroleum Products,Restricted
5192,"Books, Periodicals, and Newspapers",Restricted
5193,"Florists' Supplies, Nursery Stock and Flowers",Approved
5198,"Paints, Varnishes, and Supplies",Approved
5199,"Non-durable Goods, Not Elsewhere Classified",Approved
5200,Home Supply Warehouse Stores,Approved
5211,Lumber and Building Materials Stores,Approved
5231,"Glass, Paint, and Wallpaper Stores",Approved
5251,Hardware Stores,Approved
5261,Nurseries – Lawn and Garden Supply Store,Approved
5271,Mobile Home Dealers,Approved
5300,Wholesale Clubs,Approved
5309,Duty Free Store,Approved
5310,Discount Stores,Approved
5311,Department Stores,Approved
5331,Variety Stores,Approved
5399,Misc. General Merchandise,Approved
5411,"Grocery Stores, Supermarkets",Approved
5422,Meat Provisioners – Freezer and Locker,Approved
5441,"Candy, Nut, and Confectionery Stores",Approved
5451,Dairy Products Stores,Approved
5462,Bakeries,Approved
5499,Misc. Food Stores – Convenience Stores and Specialty Markets,Approved
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",Approved
5521,Automobile and Truck Dealers (Used Only),Pre-Approval
5531,Automobile Supply Stores,Approved
5532,Automotive Tire Stores,Approved
5533,"Automotive Parts, Accessories Stores",Restricted
5541,Service Stations ( with or without ancillary services),Approved
5542,Automated Fuel Dispensers,Approved
5551,Boat Dealers,Approved
5561,"Recreational and Utility Trailers, Camp Dealers",Restricted
5571,Motorcycle Dealers,Approved
5592,Motor Home Dealers,Approved
5598,Snowmobile Dealers,Approved
5599,Miscellaneous Auto Dealers,Approved
5611,Men's and Boy's Clothing and Accessories Stores,Approved
5621,Women's Ready-to-Wear Stores,Approved
5631,Women's Accessory and Specialty Shops,Approved
5641,Children's and Infant's Wear Stores,Approved
5651,Family Clothing Stores,Approved
5655,"Sports Apparel, Riding Apparel Stores",Approved
5661,Shoe Stores,Approved
5681,Furriers and Fur Shops,Approved
5691,Men's and Women's Clothing Stores,Approved
5697,"Tailors, Seamstress, Mending, and Alterations",Approved
5698,Wig and Toupee Stores,Approved
5699,Miscellaneous Apparel and Accessory Shops,Approved
5712,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",Approved
5713,Floor Covering Stores,Restricted
5714,"Drapery, Window Covering and Upholstery Stores",Approved
5718,"Fireplace, Fireplace Screens, and Accessories Stores",Approved
5719,Miscellaneous Home Furnishing Specialty Stores,Approved
5722,Household Appliance Stores,Approved
5732,Electronic Sales,Restricted
5733,"Music Stores, Musical Instruments, Piano Sheet Music",Approved
5734,Computer Software Stores,Pre-Review
5735,Record Shops,Approved
5811,Caterers,Restricted
5812,Eating places and Restaurants,Approved
5813,"Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",Prohibited
5814,Fast Food Restaurants,Approved
5815,"Digital Goods: Media, Books, Movies, Music",Pre-Review
5816,Digital Goods: Games,Pre-Review
5817,Digital Goods: Applications (Excludes Games),Pre-Review
5818,Digital Goods: Large Digital Goods Merchant,Pre-Review
5832,"Antique Shops – Sales, Repairs, and Restoration Services",Approved
5912,Drug Stores and Pharmacies,Prohibited
5921,"Package Stores – Beer, Wine, and Liquor",Prohibited
5931,Used Merchandise and Secondhand Stores,Approved
5932,Antique Shops,Restricted
5933,Pawn Shops and Salvage Yards,Prohibited
5935,Wrecking and Salvage Yards,Approved
5937,Antique Reproductions,Pre-Approval
5940,Bicycle Shops – Sales and Service,Approved
5941,Sporting Goods Stores,Approved
5942,Book Stores,Approved
5943,"Stationery Stores, Office and School Supply Stores",Approved
5944,"Watch, Clock, Jewelry, and Silverware Stores",Restricted
5945,"Hobby, Toy, and Game Shops",Approved
5946,Camera and Photographic Supply Stores,Approved
5947,"Card Shops, Gift, Novelty, and Souvenir Shops",Restricted
5948,Leather Goods Stores,Approved
5949,"Sewing, Needle, Fabric, and Price Goods Stores",Approved
5950,Glassware/Crystal Stores,Approved
5960,Direct Marketing- Insurance Service,Pre-Approval
5961,"Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments)",Pre-Approval
5962,Direct Marketing – Travel Related Arrangements Services,Pre-Approval
5963,Door-to-Door Sales,Pre-Approval
5964,Direct Marketing – Catalog Merchant,Pre-Approval
5965,Direct Marketing – Catalog and Catalog and Retail Merchant,Pre-Approval
5966,Direct Marketing- Outbound Telemarketing Merchant,Prohibited
5967,Direct Marketing – Inbound Teleservices Merchant,Prohibited
5968,Direct Marketing – Continuity/Subscription Merchant,Pre-Approval
5969,Direct Marketing – Not Elsewhere Classified,Pre-Approval
5970,Artist's Supply and Craft Shops,Pre-Approval
5971,Art Dealers and Galleries,Approved
5972,Stamp and Coin Stores – Philatelic and Numismatic Supplies,Restricted
5973,Religious Goods Stores,Pre-Approval
5975,"Hearing Aids – Sales, Service, and Supply Stores",Approved
5976,Orthopedic Goods Prosthetic Devices,Approved
5977,Cosmetic Stores,Approved
5978,"Typewriter Stores – Sales, Rental, Service",Approved
5983,"Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum",Approved
5992,Florists,Approved
5993,Cigar Stores and Stands,Pre-Review
5994,News Dealers and Newsstands,Approved
5995,"Pet Shops, Pet Foods, and Supplies Stores",Approved
5996,"Swimming Pools – Sales, Service, and Supplies",Approved
5997,Electric Razor Stores – Sales and Service,Approved
5998,Tent and Awning Shops,Approved
5999,Miscellaneous and Specialty Retail Stores,Approved
6010,Financial Institutions – Manual Cash Disbursements,Approved
6011,Financial Institutions – Manual Cash Disbursements,Approved
6012,Financial Institutions – Merchandise and Services,Pre-Approval
6051,"Non-Financial Institutions – Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques",Prohibited
6211,Security Brokers/Dealers,Pre-Review
6300,"Insurance Sales, Underwriting, and Premiums",Pre-Approval
6381,"Insurance Premiums, (no longer valid for first presentment work)",Approved
6399,"Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)",Approved
6513,Real Estate Agents and Managers - Rentals,Pre-Approval
7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)",Pre-Approval
7012,Timeshares,Pre-Approval
7032,Sporting and Recreational Camps,Approved
7033,Trailer Parks and Camp Grounds,Approved
7210,"Laundry, Cleaning, and Garment Services",Approved
7211,Laundry – Family and Commercial,Approved
7216,Dry Cleaners,Approved
7217,Carpet and Upholstery Cleaning,Approved
7221,Photographic Studios,Approved
7230,Barber and Beauty Shops,Restricted
7251,"Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops",Approved
7261,Funeral Service and Crematories,Approved
7273,Dating and Escort Services,Prohibited
7276,Tax Preparation Service,Approved
7277,"Counseling Service – Debt, Marriage, Personal",Pre-Approval
7278,"Buying/Shopping Services, Clubs",Pre-Approval
7296,"Clothing Rental – Costumes, Formal Wear, Uniforms",Approved
7297,Massage Parlors,Prohibited
7298,Health and Beauty Shops,Restricted
7299,Miscellaneous Personal Services ( not elsewhere classifies),Approved
7311,Advertising Services,Approved
7321,Consumer Credit Reporting Agencies,Restricted
7332,Blueprinting and Photocopying Services,Approved
7333,"Commercial Photography, Art and Graphics",Approved
7338,"Quick Copy, Reproduction and Blueprinting Services",Approved
7339,Stenographic and Secretarial Support Services,Approved
7342,Exterminating and Disinfecting Services,Restricted
7349,"Cleaning and Maintenance, Janitorial Services",Restricted
7361,"Employment Agencies, Temporary Help Services",Restricted
7372,"Computer Programming, Integrated Systems Design and Data Processing Services",Restricted
7375,Information Retrieval Services,Restricted
7379,"Computer Maintenance and Repair Services, Not Elsewhere Classified",Restricted
7392,"Management, Consulting, and Public Relations Services",Restricted
7393,Protective and Security Services – Including Armored Carsand Guard Dogs,Restricted
7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Approved
7395,"Photofinishing Laboratories, Photo Developing",Approved
7399,"Business Services, Not Elsewhere Classified",Approved
7511,Truck Stop,Approved
7512,Car Rental Companies ( Not Listed Below),Restricted
7513,Truck and Utility Trailer Rentals,Restricted
7519,Motor Home and Recreational Vehicle Rentals,Restricted
7523,Automobile Parking Lots and Garages,Approved
7531,Automotive Body Repair Shops,Approved
7534,Tire Re-treading and Repair Shops,Approved
7535,Paint Shops – Automotive,Approved
7538,Automotive Service Shops,Approved
7542,Car Washes,Approved
7549,Towing Services,Approved
7622,Radio Repair Shops,Approved
7623,Air Conditioning and Refrigeration Repair Shops,Approved
7629,Electrical And Small Appliance Repair Shops,Approved
7631,"Watch, Clock, and Jewelry Repair",Approved
7641,"Furniture, Furniture Repair, and Furniture Refinishing",Approved
7692,Welding Repair,Approved
7699,Repair Shops and Related Services –Miscellaneous,Approved
7800,Government-Owned Lotteries,Pre-Review
7801,Government-Licensed On-Line Casinos (On-Line Gambling),Pre-Review
7802,Government-Licensed Horse/Dog Racing,Pre-Review
7829,Motion Pictures and Video Tape Production and Distribution,Restricted
7832,Motion Picture Theaters,Approved
7841,Video Tape Rental Stores,Approved
7911,"Dance Halls, Studios and Schools",Restricted
7922,"Theatrical Producers (Except Motion Pictures), Ticket Agencies",Approved
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)",Approved
7932,Billiard and Pool Establishments,Approved
7933,Bowling Alleys,Approved
7941,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",Approved
7991,Tourist Attractions and Exhibits,Approved
7992,Golf Courses – Public,Approved
7993,Video Amusement Game Supplies,Approved
7994,Video Game Arcades/Establishments,Approved
7995,"Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers at Race Tracks)",Pre-Approval
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",Pre-Approval
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Pre-Review
7998,"Aquariums, Sea-aquariums, Dolphinariums",Approved
7999,Recreation Services (Not Elsewhere Classified),Approved
8011,Doctors and Physicians (Not Elsewhere Classified),Approved
8021,Dentists and Orthodontists,Approved
8031,Osteopaths,Approved
8041,Chiropractors,Approved
8042,Optometrists and Ophthalmologists,Approved
8043,"Opticians, Opticians Goods and Eyeglasses",Approved
8044,"Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)",Approved
8049,Podiatrists and Chiropodists,Approved
8050,Nursing and Personal Care Facilities,Approved
8062,Hospitals,Approved
8071,Medical and Dental Laboratories,Approved
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),Restricted
8111,Legal Services and Attorneys,Pre-Approval
8211,Elementary and Secondary Schools,Restricted
8220,"Colleges, Junior Colleges, Universities, and ProfessionalSchools",Restricted
8241,Correspondence Schools,Restricted
8244,Business and Secretarial Schools,Restricted
8249,Vocational Schools and Trade Schools,Restricted
8299,Schools and Educational Services ( Not Elsewhere Classified),Restricted
8351,Child Care Services,Approved
8398,Charitable and Social Service Organizations,Pre-Approval
8641,"Civic, Fraternal, and Social Associations",Pre-Approval
8651,Political Organizations,Restricted
8661,Religious Organizations,Approved
8675,Automobile Associations,Restricted
8699,Membership Organizations ( Not Elsewhere Classified),Approved
8734,Testing Laboratories ( non-medical),Restricted
8911,Architectural – Engineering and Surveying Services,Approved
8931,"Accounting, Auditing, and Bookkeeping Services",Approved
8999,Professional Services ( Not Elsewhere Defined),Approved
9211,"Court Costs, including Alimony and Child Support",Pre-Approval
9222,Fines,Approved
9223,Bail and Bond Payments,Pre-Approval
9311,Tax Payments,Approved
9399,Government Services ( Not Elsewhere Classified),Approved
9402,Postal Services – Government Only,Restricted
9405,Intra – Government Transactions,Approved
9700,Automated Referral Service ( For Visa Only),Approved
9701,Visa Credential Service ( For Visa Only),Approved
9702,GCAS Emergency Services ( For Visa Only),Approved
9950,Intra – Company Purchases ( For Visa Only),Approved
