mcc,description,classification
3135,SUDAN AIRWAYS,Pre-Approval
3136,Airlines,Pre-Approval
3137,SINGLETON,Pre-Approval
3138,SIMMONS AIRLINES,Pre-Approval
3139,Airlines,Pre-Approval
3140,Airlines,Pre-Approval
3141,Airlines,Pre-Approval
3142,Airlines,Pre-Approval
3143,SCENIC AIRLINES,Pre-Approval
3144,VIRGIN ATLANTIC,Pre-Approval
3145,SAN JUAN AIRLINES,Pre-Approval
3146,LUXAIR,Pre-Approval
3147,Airlines,Pre-Approval
3148,Airlines,Pre-Approval
3149,Airlines,Pre-Approval
3150,Airlines,Pre-Approval
3151,AIR ZAIRE,Pre-Approval
3152,Airlines,Pre-Approval
3153,Airlines,Pre-Approval
3154,PRINCEVILLE,Pre-Approval
3155,Airlines,Pre-Approval
3156,Airlines,Pre-Approval
3157,Airlines,Pre-Approval
3158,Airlines,Pre-Approval
3159,PBA,Pre-Approval
3160,Airlines,Pre-Approval
3161,ALL NIPPON AIRWAYS,Pre-Approval
3162,Airlines,Pre-Approval
3163,Airlines,Pre-Approval
3164,NORONTAIR,Pre-Approval
3165,NEW YORK HELICOPTER,Pre-Approval
3166,Airlines,Pre-Approval
3167,Airlines,Pre-Approval
3168,Airlines,Pre-Approval
3169,Airlines,Pre-Approval
3170,NOUNT COOK,Pre-Approval
3171,CANADIAN AIRLINES INTERNATIONAL,Pre-Approval
3172,NATIONAIR,Pre-Approval
3173,Airlines,Pre-Approval
3174,Airlines,Pre-Approval
3175,Airlines,Pre-Approval
3176,METROFLIGHT AIRLINES,Pre-Approval
3177,Airlines,Pre-Approval
3178,MESA AIR,Pre-Approval
3179,Airlines,Pre-Approval
3180,Airlines,Pre-Approval
3181,MALEV,Pre-Approval
3182,LOT (POLAND),Pre-Approval
3183,Airlines,Pre-Approval
3184,LIAT,Pre-Approval
3185,LAV (VENEZUELA),Pre-Approval
3186,LAP (PARAGUAY),Pre-Approval
3187,LACSA (COSTA RICA),Pre-Approval
3188,Airlines,Pre-Approval
3189,Airlines,Pre-Approval
3190,JUGOSLAV AIR,Pre-Approval
3191,ISLAND AIRLINES,Pre-Approval
3192,IRAN AIR,Pre-Approval
3193,INDIAN AIRLINES,Pre-Approval
3194,Airlines,Pre-Approval
3195,Airlines,Pre-Approval
3196,HAWAIIAN AIR,Pre-Approval
